Time,Ax,Ay,Az,Gx,Gy,Gz
0.01657093,-8799.566,1548.349,-5931.339,-7183.707,1146.884,-4273.012,0
0.01657312,-8733.258,1535.403,-5926.665,-7137.155,1097.682,-4292.365,0
0.01657102,-8690.879,1513.392,-5947.708,-7095.861,1071.055,-4301.874,0
0.01657102,-8682.639,1495.469,-5914.542,-7085.248,1060.379,-4288.702,0
0.01657165,-8681.305,1488.69,-5932.74,-7084.368,1046.614,-4302.318,0
0.01656203,-8722.862,1480.671,-5912.599,-7120.648,1047.704,-4271.03,0
0.01610175,-8768.309,1490.655,-5873.656,-7146.42,1066.398,-4245.675,0
0.01610175,-8787.826,1451.983,-5853.747,-7174.408,1027.087,-4221.641,0
0.01657055,-8730.3,1452.142,-5908,-7130.211,1021.999,-4253.696,0
0.01657055,-8783.939,1446.354,-5846.517,-7162.26,1030.071,-4196.323,0
0.01656939,-8751.752,1482.727,-5847.512,-7141.906,1078.596,-4208.74,0
0.01656908,-8730.546,1517.721,-5908.494,-7121.208,1085.141,-4277.655,0
0.01656908,-8714.721,1518.255,-5865.042,-7118.013,1040.086,-4204.757,0
0.01657081,-8723.415,1469.421,-5827.362,-7124.709,1077.648,-4208.51,0
0.01657127,-8713.054,1468.35,-5808.523,-7116.82,1083.275,-4184.856,0
0.01657127,-8739.2,1514.813,-5838.541,-7136.836,1076.423,-4250.055,0
0.01657192,-8773.307,1517.286,-5883.143,-7158.39,1008.209,-4212.022,0
0.01657258,-8792.96,1406.466,-5876.362,-7168.795,1013.191,-4264.904,0
0.01657258,-8781.871,1432.785,-5894.751,-7160.12,1029.732,-4269.576,0
0.01721217,-8728.545,1481.112,-5951.5,-7123.701,1034.141,-4295.719,0
0.01657047,-8705.159,1467.942,-5955.815,-7105.915,1036.894,-4295.507,0
0.01656832,-8699.451,1467.92,-5969.874,-7106.135,1036.404,-4299.144,0
0.01671809,-8713.065,1493.102,-5954.731,-7112.239,1071.209,-4284.349,0
0.01657458,-8694.564,1478.693,-5956.586,-7102.633,1063.19,-4296.737,0
0.01657458,-8727.234,1482.512,-5892.825,-7118.845,1078.558,-4214.154,0
0.01657211,-8725.264,1508.626,-5890.742,-7117.356,1089.023,-4246.838,0
0.01657124,-8720.823,1506.536,-5902.598,-7113.988,1104.197,-4229.972,0
0.01657431,-8732.685,1531.299,-5894.24,-7123.079,1132.651,-4226.756,0
0.01657431,-8727.445,1512.949,-5885.268,-7123.498,1104.555,-4257.148,0
0.01656938,-8732.196,1534.519,-5893.1,-7127.123,1136.415,-4230.513,0
0.01657563,-8733.843,1530.988,-5892.754,-7123.929,1132.393,-4226.751,0
0.01657563,-8699.257,1527.719,-5858.961,-7097.515,1087.622,-4222.105,0
0.01657563,-8713.501,1514.432,-5826.783,-7108.508,1071.058,-4197.991,0
0.01657563,-8688.739,1503.984,-5890.588,-7089.66,1070.857,-4231.184,0
0.01657563,-8698.829,1528.244,-5893.885,-7097.502,1081.383,-4229.305,0
0.01657563,-8731.514,1496.38,-5879.184,-7122.539,1065.607,-4224.483,0
0.01657563,-8716.292,1471.078,-5883.318,-7115.303,1066.578,-4229.645,0
0.01657563,-8722.943,1489.665,-5932.733,-7120.386,1061.768,-4260.481,0
0.01657563,-8720.167,1476.087,-5944.013,-7118.247,1030.148,-4268.676,0
0.3333333,-8694.15,1467.558,-5929.064,-7089.518,1044.019,-4269.286,1
0.3333333,-8694.428,1442.868,-5867.37,-7094.274,1079.864,-4244.787,1
0.3333333,-8680.44,1515.83,-5928.459,-7070.393,1072.502,-4295.099,1
0.3333333,-8704.423,1495.73,-5930.246,-7106.588,1013.621,-4271.367,1
0.3333333,-8743.229,1464.069,-5910.858,-7131.792,1021.425,-4260.897,1
0.1324967,-8700.357,1449.165,-5892.844,-7098.939,1072.799,-4291.156,1
0.1324967,-8680.796,1514.043,-5961.376,-7075.197,1036.525,-4330.675,1
0.1324967,-8686.028,1446.383,-5973.612,-7092.625,1017.831,-4294.868,1
0.03320841,-8723.825,1437.801,-5957.065,-7117.12,1028.079,-4314.721,1
0.03323776,-8734.754,1491.234,-5953.239,-7129.826,1051.852,-4314.385,1
0.01658981,-8772.059,1462.881,-5932.876,-7149.327,1028.798,-4302.563,1
0.01657987,-8746.873,1470.802,-5932.613,-7138.742,1058.474,-4269.89,1
0.01657987,-8788.491,1469.147,-5899.854,-7170.388,1044.744,-4286.715,1
0.0165834,-8793.606,1512.948,-5927.183,-7178.456,1106.734,-4275.493,1
0.01657118,-8775.129,1526.963,-5906.41,-7159.653,1131.074,-4267.396,1
0.01657118,-8742.84,1541.994,-5943.485,-7130.417,1117.355,-4307.672,1
0.01657079,-8725.987,1522.374,-5964.238,-7117.547,1096.6,-4302.355,1
0.01657387,-8731.704,1494.163,-5916.826,-7121.97,1077.434,-4255.233,1
0.01656705,-8748.417,1519.36,-5899.673,-7130.326,1062.316,-4261.064,1
0.01656955,-8691.642,1504.431,-5889.847,-7095.824,1072.219,-4251.729,1
0.01656955,-8713.043,1473.225,-5921.614,-7107.903,1055.861,-4253.679,1
0.01656971,-8710.193,1515.077,-5902.11,-7101.379,1079.312,-4245.209,1
0.01656971,-8713.052,1499.734,-5931.184,-7103.655,1068.092,-4264.459,1
0.01676896,-8711.549,1477.852,-5932.617,-7111.443,1054.993,-4253.077,1
0.01656977,-8713.135,1472.336,-5971.549,-7112.704,1023.719,-4286.407,1
0.01657034,-8721.896,1448.551,-5937.092,-7110.568,1048.365,-4304.824,1
0.01657034,-8732.469,1477.53,-5955.52,-7123.091,1081.695,-4342.332,1
0.01656846,-8725.406,1503.029,-5967.398,-7113.237,1119.14,-4288.042,1
0.01656846,-8742.242,1501.625,-5933.485,-7130.528,1063.63,-4276.187,1
0.01656978,-8726.608,1474.619,-5873.466,-7109.666,1002.292,-4226.235,1
0.01657231,-8695.146,1450.004,-5850.996,-7090.102,1078.406,-4247.556,1
0.01657231,-8710.214,1487.284,-5924.058,-7110.594,1082.813,-4297.736,1
0.01656941,-8740.345,1488.393,-5885.972,-7124.769,971.7234,-4239.519,1
0.01656941,-8736.73,1440.106,-5891.408,-7117.516,987.4128,-4210.863,1
0.01657462,-8744.437,1414.717,-5802.09,-7132.229,1036.136,-4207.68,1
0.01657462,-8689.151,1500.944,-5906.389,-7094.381,1015.989,-4249.715,1
0.01607534,-8710.164,1502.147,-5948.556,-7110.553,1043.506,-4266.68,1
0.01656593,-8705.97,1498.787,-5904.922,-7102.958,1074.675,-4243.225,1
0.01657565,-8707.971,1501.487,-5870.387,-7095.682,1060.007,-4224.935,1
0.01657592,-8721.302,1501.258,-5835.492,-7119.217,1065.854,-4203.156,1
0.01657162,-8704.955,1489.036,-5821.303,-7097.854,1074.726,-4162.393,1
0.01657116,-8670.938,1509.057,-5802.647,-7063.087,1079.976,-4160.412,1
0.01657391,-8677.77,1545.087,-5821.447,-7077.37,1096.567,-4207.797,1
0.01657391,-8699.929,1532.087,-5871.205,-7085.558,1130.468,-4210.777,1
0.01657244,-8725.091,1562.225,-5885.715,-7113.683,1144.096,-4218.847,1
0.01657029,-8694.489,1578.983,-5900.743,-7090.259,1151.597,-4226.982,1
0.01657134,-8702.095,1558.902,-5895.829,-7100.554,1137.328,-4195.752,1
0.01657198,-8680.08,1557.719,-5906.285,-7074.9,1118.208,-4228.131,1
0.01657056,-8671.639,1570.619,-5860.102,-7077.435,1102.983,-4202.222,1
0.01657153,-8686.995,1567.692,-5828.175,-7084.84,1133.028,-4156.619,1
0.0165723,-8689.398,1590.516,-5873.286,-7077.867,1139.477,-4194.074,1
0.01657644,-8690.768,1579.716,-5897.581,-7083.402,1104.984,-4187.185,1
0.01657644,-8657.38,1526.619,-5914.466,-7066.815,1050.237,-4233.588,1
0.01657035,-8640.396,1489.294,-5948.746,-7045.13,1046.547,-4264.604,1
0.01656991,-8639.524,1504.43,-5917.932,-7049.105,1087.405,-4228.633,1
0.01657587,-8660.484,1562.382,-5955.656,-7060.854,1109.838,-4281.712,1
0.01657217,-8636.342,1560.614,-5925.104,-7060.24,1070.441,-4224.877,1
0.01656841,-8655.952,1486.134,-5877.095,-7057.617,1091.133,-4230.549,1
0.01656841,-8619.689,1534.22,-5903.636,-7030.02,1109.392,-4240.6,1
0.01657265,-8603.215,1560.339,-5923.471,-7030.951,1074.17,-4284.222,1
0.01657265,-8644.044,1531.137,-5999.887,-7053.476,1016.137,-4290.583,1
0.01657188,-8638.093,1512.369,-6008.833,-7035.701,1066.517,-4314.524,1
0.01657188,-8650.075,1547.711,-5990.212,-7044.954,1124.598,-4324.864,1
0.01568722,-8610.685,1618.634,-6021.06,-7019.368,1084.442,-4320.4,1
0.01657091,-8610.121,1553.358,-5981.835,-7027.985,1099.247,-4263.535,1
0.01657091,-8637.924,1576.826,-5994.697,-7044.922,1109.631,-4279.633,1
0.01657044,-8640.958,1571.357,-5989.146,-7042.841,1105.061,-4303.225,1
