Time,Ax,Ay,Az,Gx,Gy,Gz
0.01659835,-16364,-928,844,-3072,-66,142
0.01660121,-16236,-928,840,-3104,-118,-52
0.01660023,-16312,-956,716,-3136,-112,69
0.01659901,-16384,-1028,900,-3104,-60,-315
0.01655379,-16600,-796,1116,-3104,-100,195
0.01659999,-16320,-980,1088,-3088,-162,387
0.01659983,-16332,-856,684,-3104,-94,185
0.01659983,-16356,-800,776,-3120,-38,138
0.0165978,-16472,-900,632,-3120,75,117
0.01659945,-16352,-976,1056,-3088,-1,92
0.01681085,-16588,-836,1000,-3072,-160,342
0.01659914,-16464,-852,916,-3104,-4,323
0.01660097,-16180,-1016,808,-3104,-100,395
0.01660136,-16152,-904,532,-3088,-113,271
0.01660382,-16324,-920,876,-3088,-13,-41
0.01660382,-16380,-832,1116,-3088,-185,70
0.0165989,-16468,-920,1036,-3120,-49,113
0.01659932,-16336,-808,976,-3072,-57,323
0.01659911,-16352,-892,812,-3120,-71,179
0.01660001,-16284,-892,904,-3088,-56,118
0.0166004,-16356,-888,812,-3104,-74,5
0.0166004,-16456,-952,804,-3088,-77,177
0.01659936,-16408,-976,972,-3120,-178,201
0.01660009,-16364,-900,916,-3088,-172,229
0.01660009,-16472,-888,744,-3120,-130,153
0.01659928,-16388,-932,860,-3104,49,108
0.01659622,-16284,-1052,1092,-3088,-23,42
0.01659995,-16428,-864,912,-3120,-201,252
0.01659995,-16468,-848,760,-3088,-91,260
0.01659995,-16380,-940,872,-3120,-55,193
0.01660112,-16340,-980,776,-3088,-117,66
0.01671864,-16416,-840,812,-3088,-129,182
0.01671864,-16360,-808,692,-3072,-97,113
0.01659944,-16280,-960,916,-3072,-118,79
0.01659999,-16460,-860,776,-3088,-155,208
0.01659863,-16392,-952,880,-3072,-66,61
0.01659863,-16416,-856,748,-3104,19,131
0.016597,-16500,-980,1048,-3136,135,186
0.01659931,-16316,-776,1080,-3072,-108,325
0.01660158,-16288,-940,860,-3104,-131,237
0.01659081,-16296,-832,700,-3088,-257,313
0.01659081,-16364,-716,628,-3072,-83,177
0.01659906,-16360,-964,864,-3104,20,-39
0.01659906,-16344,-984,952,-3088,-79,17
0.01660148,-16488,-884,856,-3104,-111,228
0.01659705,-16316,-988,824,-3072,-54,200
0.01659705,-16328,-964,800,-3072,-208,159
0.01660115,-16328,-852,884,-3088,-181,131
0.01660243,-16388,-872,820,-3072,-163,55
0.01660243,-16392,-1032,988,-3088,-140,276
0.01643053,-16364,-1008,920,-3104,-53,203
0.01643053,-16364,-1120,1096,-3088,-109,157
0.0166002,-16420,-872,1000,-3072,-165,320
0.01659966,-16084,-840,820,-3104,-272,-155
0.01659944,-16196,-876,836,-3104,-158,44
0.01659944,-16312,-924,884,-3088,-66,97
0.01660162,-16288,-1040,836,-3072,-309,-17
0.01659767,-16452,-952,752,-3088,-320,55
0.01659767,-16352,-800,804,-3056,-211,20
0.01660038,-16284,-864,724,-3088,-236,117
0.01660038,-16168,-852,1052,-3120,-243,20
0.01659933,-16440,-992,856,-3104,-57,232
0.0165999,-16536,-776,1112,-3072,-219,217
0.01659843,-16384,-1044,948,-3072,-186,23
0.01659907,-16332,-972,1080,-3072,-243,-40
0.01659976,-16356,-800,844,-3104,-327,79
0.01659976,-16372,-848,964,-3120,-283,-16
0.01609899,-16416,-764,812,-3088,-169,59
0.01659755,-16188,-920,1080,-3040,-280,85
0.01659755,-16364,-860,772,-3088,-245,-27
0.01658983,-16340,-1016,932,-3088,-191,20
0.0165867,-16488,-984,896,-3072,-160,65
0.0165867,-16372,-1024,1220,-3104,-270,66
0.01658789,-16460,-844,960,-3088,-320,321
0.01658764,-16248,-816,992,-3072,-249,-50
0.01658764,-16268,-904,1020,-3104,-272,252
0.01658926,-16420,-864,744,-3088,-238,98
0.01658733,-16344,-900,784,-3056,-224,29
0.01658733,-16436,-944,1044,-3072,-239,185
