Time,Ax,Ay,Az,Gx,Gy,Gz
0.01657873,-10644.42,209.4232,-3107.045,-8623.107,485.6168,-2913.587
0.01657823,-10579.23,633.8247,-2938.109,-8572.546,1288.013,-2804.624
0.01657788,-10634.19,1115.622,-2777.03,-8622.891,1954.287,-1632.483
0.01657788,-10718.58,1914.032,-1556.888,-8664.509,3108.453,1125.808
0.01657728,-11005.45,1896.711,36.8419,-8895.932,2864.356,2206.362
0.0165769,-11291.44,1679.996,510.5898,-9116.781,2963.672,2669.495
0.01657693,-11265.95,1203.319,985.3848,-9090.113,1709.576,1553.1
0.01657616,-11042.51,335.4118,146.7338,-8917.194,-0.1205402,839.0338
0.01657616,-10768.1,-777.6557,-983.6528,-8706.48,-885.7606,-703.3382
0.01657646,-10619.99,-1686.558,-2063.153,-8597.798,-383.9365,-3742.192
0.01657925,-10494.1,-1081.176,-3444.52,-8497.779,-614,-5471.496
0.01657925,-10533.72,-943.7585,-4911.37,-8533.398,-1290.417,-4429.094
0.01657932,-10582.76,-1490.96,-4084.993,-8567.075,-1465.542,-3388.665
0.01657932,-10603.46,-1690.028,-3345.708,-8583.295,-1533.647,-2321.894
0.01657878,-10887.6,-1734.309,-2349.811,-8787.193,-1496.32,-1226.592
0.01657878,-10866.75,-1638.882,-1892.23,-8783.771,-745.7912,-797.1516
0.0165734,-10710.55,-627.8934,-1630.579,-8663.891,1125.013,-219.5894
0.01657842,-10793.81,123.6902,-1178.381,-8723.025,1998.953,-534.3687
0.01657842,-11045.94,909.4757,-859.6382,-8910.75,2127.481,-224.5356
0.01657901,-10653.31,122.7744,-975.2433,-8623.129,2588.707,188.005
0.01657842,-11038.36,752.1968,-586.8683,-8913,4284.08,974.3859
0.01657842,-10782.77,2777.144,-737.4171,-8716.786,6492.931,-750.7452
0.01657856,-10711.17,4734.676,-1117.397,-8662.114,7826.857,-2357.392
0.01657856,-10511.17,5058.592,-3702.583,-8500.847,8817.908,-5744.254
0.01657817,-10416.46,6626.216,-4162.067,-8434.002,8283.118,-10563.73
0.01657817,-10336.69,6168.572,-7111.311,-8369.944,4796.517,-5035.585
0.01657768,-10750.01,3025.161,-3591.384,-8691.304,1133.373,-2806.2
0.01657575,-10840.65,68.36449,-2184.734,-8760.17,-1119.312,-1060.04
0.01657575,-11036.73,-1791.387,-1098.006,-8900.349,-3294.476,-1085.651
0.01657917,-10227.64,-2279.158,-455.7599,-8290.332,-3172.216,-532.7509
0.0165793,-10201.29,-3811.173,-513.5579,-8267.718,-5156.172,-1632.735
0.0165793,-10377.56,-5153.246,-1156.351,-8404.097,-4329.822,-1857.436
0.01657908,-10501.83,-4280.048,-1349.044,-8513.195,-2819.111,-2506.341
0.01657905,-10556.92,-3461.671,-1496.467,-8551.158,-2278.683,-2638.85
0.01657905,-10548.43,-2428.54,-1369.633,-8540.348,-2125.186,-2138.157
0.01657842,-10548.05,-2577.501,-1238.014,-8540.188,-2437.99,-2070.58
0.01657908,-10377.45,-2815.233,-932.0687,-8414.519,-3034.957,-1562.254
0.01657816,-10452.62,-3105.554,-628.233,-8472.648,-2571.588,-1694.418
0.01657816,-10545.17,-1815.53,472.4541,-8534.808,-1838.29,-553.6436
0.01657868,-10343.51,-1887.437,500.2211,-8394.173,-3995.934,2224.875
0.01657704,-11058.61,-2561.591,1040.646,-8940.767,-2805.728,4050.204
0.01657879,-10774.8,-1899.671,3747.422,-8713.191,-1577.811,4837.531
0.01657879,-10824.65,-901.4591,3900.864,-8737.207,-1224.816,4884.9
0.01657851,-11155.68,-1042.678,3910.834,-9006.794,-759.4025,3163.346
0.01657851,-11002.12,-243.0859,2774.403,-8878.683,-336.8236,1848.158
0.01657914,-11002.46,-474.6581,1726.046,-8886.597,-571.006,1380.384
0.01657674,-11112.6,-1137.628,1148.1,-8965.15,-1130.672,2065.923
0.01657674,-10638.43,-1590.157,1196.305,-8597.393,-2353.615,1603.226
0.01657886,-10871.49,-1611.567,1546.512,-8780.32,-1359.045,2399.58
0.01657886,-10414.06,-559.1836,1399.36,-8426.349,-3619.364,2345.669
0.01658057,-10667.42,-3234.638,1571.462,-8630.04,-3149.897,3422.888
0.0165767,-10009.45,-2371.935,1633.366,-8132.51,-1708.317,4531.852
0.0165767,-9558.304,-1270.739,3148.77,-7786.47,-3024.043,8433.852
0.01657758,-10710.24,-3511.114,4713.893,-8665.526,-2501.73,4383.451
0.01657758,-10247.11,-731.3418,1806.722,-8311.344,749.4843,-2553.075
0.0165787,-11685.4,-2040.479,-1806.033,-9414.824,-1943.343,-6757.729
0.01658,-10631.25,-3334.256,-4769.241,-8601.264,-2758.052,-4060.379
0.01658,-10565.61,-2316.772,-3039.888,-8551.229,-2158.89,-237.6495
0.01657873,-10285.02,-2983.936,-1411.812,-8337.362,-2799.934,-585.5369
0.01657873,-10073.95,-3415.867,-925.0306,-8186.466,-2955.492,-997.1433
0.01657883,-10274.03,-3453.072,-1325.357,-8327.889,-3124.128,-374.5557
0.01657724,-10287.03,-3222.338,-1045.782,-8343.281,-2816.654,-1063.102
0.01657554,-10420.48,-3081.97,-1519.25,-8446.007,-2360.815,-1497.883
0.01657554,-10391.95,-2868.553,-1618.5,-8424.484,-2313.13,-1639.457
0.01657656,-10319.33,-2976.194,-1738.221,-8360.523,-2453.923,-1704.851
0.01657843,-10294.25,-2968.455,-1641.464,-8346.409,-2590.393,-1510.264
0.01658187,-10127.9,-3123.425,-1636.123,-8215.613,-3541.637,-1895.209
0.01657796,-10483.21,-3519.852,-2019.859,-8496.893,-3580.656,-2040.327
0.01657796,-10773.58,-3149.67,-1944.582,-8722.651,-2492.551,-1787.935
0.01657657,-10846.36,-2770.051,-1653.848,-8763.509,-1847.103,-1225.893
0.01657657,-10654.5,-2523.562,-1335.642,-8619.989,-1679.48,-1032.111
0.01657785,-10571.66,-2448.724,-1105.824,-8565.011,-1679.601,-923.1695
0.01657854,-10689.94,-2398.084,-950.6656,-8646.189,-1836.288,-736.3007
0.01657854,-10674.97,-2346.052,-738.8177,-8638.546,-2190.824,-471.4303
0.01657861,-10552.24,-2537.635,-762.9136,-8539.9,-2634.609,-787.2393
0.01657801,-10423.54,-2794.858,-1051.146,-8450.533,-2590.264,-1029.521
0.01657801,-10343.43,-2809.744,-1154.35,-8385.438,-2535.035,-1320.961
0.01657691,-10398.51,-2844.198,-1248.887,-8419.361,-2633.414,-1241.864
0.01657818,-10430.53,-2962.812,-1202.721,-8448.7,-2845.397,-1437.936
0.01657818,-10531.95,-3065.834,-1361.469,-8521.973,-2688.42,-1528.2
0.01657677,-10589.03,-2914.365,-1361.23,-8578.714,-2190.984,-1170.457
0.01657848,-10676.41,-2528.249,-1110.945,-8640.622,-1599.375,-707.5803
0.01657848,-10770.76,-2197.445,-725.4016,-8720.866,-1133.247,-300.6867
0.01657709,-10814.58,-1907.797,-368.9376,-8744.494,-829.6336,-102.6201
0.01657709,-10793.95,-1640.484,-227.6284,-8727.752,-720.6373,135.515
0.0165787,-10666.17,-1478.189,-92.67816,-8633.84,-735.0255,376.6501
0.01657839,-10545.27,-1425.628,35.28429,-8536.882,-829.3393,309.6214
0.01657839,-10442.5,-1493.428,-80.09644,-8445.405,-970.8697,125.6013
0.01657823,-10379.8,-1678.389,-160.936,-8402.63,-1202.024,-53.6725
0.01657722,-10401.08,-1835.363,-319.1781,-8428.552,-1368.729,-236.3045
0.01657684,-10480.3,-1944.225,-421.3651,-8489.644,-1478.121,-271.328
0.01657684,-10556.15,-2059.533,-487.6418,-8534.495,-1582.145,-246.6815
0.01657457,-10578.26,-2051.632,-471.5073,-8555.769,-1526.506,-284.9865
0.01657709,-10623.22,-2021.334,-472.4447,-8594.387,-1457.794,-279.9966
0.01657837,-10648.04,-2013.371,-497.8026,-8608.607,-1425.724,-311.8934
0.01657758,-10702.88,-1962.621,-493.6252,-8654.543,-1373.788,-329.3903
0.01657971,-10746.35,-2004.313,-570.3157,-8687.197,-1396.474,-747.2756
0.01657971,-10612.26,-2037.571,-768.5054,-8584.205,-1401.446,-826.9603
0.01657643,-10573.22,-2041.629,-829.073,-8567.647,-1397.856,-793.9016
0.01657902,-10518.52,-2028.025,-765.759,-8508.241,-1445.288,-564.1912
0.01657902,-10477.8,-2013.5,-624.7211,-8490.762,-1492.748,-437.6892
0.01657709,-10475.92,-1998.905,-578.9004,-8485.302,-1548.929,-375.9268
0.01657709,-10467.71,-2046.274,-515.3149,-8474.979,-1614.091,-363.9762
0.01658056,-10501.19,-2086.974,-466.7422,-8505.345,-1607.734,-360.0133
0.01658409,-10587.8,-2083.949,-467.5589,-8562.786,-1555.222,-333.1627
0.01658409,-10694.78,-2064.589,-449.7475,-8648.742,-1545.517,-295.144
0.01658409,-10673.61,-2084.741,-369.1748,-8645.338,-1483.801,-307.8817
0.01658409,-10678.31,-2062.966,-365.2165,-8635.196,-1523.956,-200.2701
0.01658409,-10665.72,-2064.865,-332.4419,-8629.646,-1540.041,-126.509
0.01658409,-10653.4,-2078.205,-302.4761,-8619.957,-1519.958,-103.2264
0.1989814,-10599.23,-2050.586,-274.6144,-8578.394,-1450.356,-174.6156
0.1989814,-10576.29,-2036.243,-249.2307,-8560.899,-1494.411,-115.8595
0.01658235,-10515.37,-2092.217,-325.9233,-8510.072,-1579.869,-45.11249
0.01658035,-10442.46,-2192.849,-284.7646,-8450.327,-1576.96,-109.7467
0.01658223,-10446.08,-2163.591,-301.6961,-8453.679,-1573.317,-124.1396
0.01658265,-10470.24,-2123.923,-343.1577,-8477.057,-1532.764,-177.3371
0.01658308,-10508.45,-2036.272,-343.1553,-8502.145,-1472.132,-257.0596
0.01658308,-10661.89,-1993.42,-353.2761,-8619.443,-1394.793,-207.7676
0.01658222,-10736.85,-1982.34,-258.0545,-8685.091,-1384.872,-94.21419
0.01658062,-10763.12,-2011.798,-187.213,-8708.883,-1500.883,-82.79942
0.01658069,-10775.03,-2037.584,-200.2391,-8708.388,-1658.583,16.80618
0.01658334,-10724.09,-2159.1,-170.2392,-8659.97,-1875.091,192.6134
0.01658334,-10621.25,-2251.78,-163.155,-8589.953,-1966.129,172.2006
0.01658317,-10594.26,-2218.172,-169.8884,-8564.956,-1820.62,244.978
0.01657903,-10559.76,-2182.37,-180.6389,-8543.199,-1536.887,145.7096
0.01658089,-10475.79,-2034.926,-174.2974,-8483.784,-1338.225,56.8009
0.01658389,-10387.66,-1740.724,-300.4384,-8412.615,-1306.356,60.89268
0.01658207,-9684.865,-1726.65,-434.8084,-7868.116,-1164.891,-1954.983
0.01658207,-10492.39,-2110.764,-1217.863,-8496.824,-650.1452,-900.9819
0.01658237,-10578.25,-1885.759,-605.4323,-8557.882,-794.2081,-876.1911
0.01658166,-10609.11,-1665.541,-1177.274,-8585.504,-1645.623,-219.4747
0.01658152,-10443.67,-2063.87,-352.8986,-8454.339,-1660.624,-630.8055
